id,sender_id,receiver_id,content,type,file_url,file_name,file_size,edited,reactions,created_at,read_at,reply_to_id
00025606-091a-43ea-9101-5e1ec2edf53f,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,just now dads 3rd brother called,text,,,,false,,2026-02-16 04:25:16.783282+00,2026-02-16 05:01:46.31+00,
00039ce8-2090-414b-97f8-47fe58efa4f4,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,rest,text,,,,false,,2026-04-16 16:31:59.657213+00,2026-04-16 16:31:59.155+00,
0003f4e6-deee-4a8e-b09f-87a5905e9712,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,"{""candidate"":""candidate:2413289244 1 udp 2121998079 192.168.0.121 52295 typ host generation 0 ufrag 3ExM network-id 3 network-cost 10"",""sdpMid"":""1"",""sdpMLineIndex"":1,""usernameFragment"":""3ExM""}",ice_candidate,,,,false,,2026-02-15 17:39:32.385708+00,2026-02-15 17:39:33.229+00,
00093cc1-0ff2-4430-8b76-2fe8e5ce4f8e,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,Avunaaa,text,,,,false,,2026-04-18 10:35:50.541548+00,2026-04-18 10:35:49.694+00,
000a3ce8-dc30-4579-8579-04a11d8fc20a,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,💋 luv💗 sent you a kiss!,text,,,,false,,2026-02-20 10:49:34.557693+00,2026-02-20 10:49:36.599+00,
000a4e94-1d90-42d4-8817-f0f43a306fbb,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,When did u go last time? Tht time blood unde na,text,,,,false,,2026-04-30 14:57:26.924174+00,2026-04-30 14:57:26.66+00,
000a5710-f1b7-4c8e-94d6-c496264acc51,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,https://media2.giphy.com/media/v1.Y2lkPTdjNTIzZGVlZmhram9pNWlpdnY2ODJnaGVlZXFvdWlzOXUxamo1enVmZ2QzNDdyYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/qmb3iU6H8C9FIzqFts/giphy.gif,image,,,,false,,2026-04-27 16:28:20.52808+00,2026-04-27 16:28:22.672+00,
000b8840-d120-409c-a998-c38b258b8976,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,Emo,text,,,,false,,2026-04-09 19:22:38.81787+00,2026-04-09 19:22:39.889+00,
000eb033-bab4-4840-bc55-3d43bca4c738,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,"then ",text,,,,false,,2026-04-19 01:54:58.926858+00,2026-04-19 01:55:01.639+00,
000f2059-2438-46bd-913b-c2205c3e2fcb,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,etc,text,,,,false,,2026-03-26 17:36:20.198017+00,2026-03-26 17:36:20.63+00,
