id,user_id,title,description,media_url,media_type,category,likes,created_at,updated_at
007bfe29-8133-48f7-9fce-852a309baa5f,550e8400-e29b-41d4-a716-446655440001,19th April 2026,,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1777356198947-k0tka.jpg,image,dates,0,2026-04-28 06:03:24.016715+00,2026-04-28 06:03:24.016715+00
0ca09739-1383-4628-813f-4727c252a2f2,550e8400-e29b-41d4-a716-446655440001,15th feb facetime,"15th feb we had facetime in our web and we had lots of fun in the midnight
",https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771325310336-rg9ras.png,image,dates,127,2026-02-17 10:48:36.879829+00,2026-02-17 10:52:11.44313+00
13fd6241-19b5-4031-89c2-ae518a6e318b,550e8400-e29b-41d4-a716-446655440001,19th jan on terrace secret meeting,on 19th jan i came to our home we met on top of terrace no one was there at that time 6am and we had our moment,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771137516950-pgqfsd.mp4,video,dates,127,2026-02-15 06:38:41.931432+00,2026-02-15 17:27:57.115623+00
17510199-2d0c-47cd-bde3-d091c7764f5b,550e8400-e29b-41d4-a716-446655440001,11th feb date videos,on 11th feb we met and we made our videos,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771137276028-y08r1b.mp4,video,dates,127,2026-02-15 06:34:41.403584+00,2026-02-15 17:28:15.411746+00
3844d2f9-a2a2-4059-891d-17f58dacf124,550e8400-e29b-41d4-a716-446655440001,"11th feb date ","on the 11th feb we had our best date of our life till now where we met in our house no one was there and we spent our precious time together ",https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771135880880-sfcdx.jpg,image,dates,127,2026-02-15 06:11:26.440103+00,2026-02-15 17:51:11.471413+00
4ea64e64-952a-4d5e-b0e3-dfa9a10ea150,550e8400-e29b-41d4-a716-446655440001,"8th feb date ",on 8th feb also we met when eshu chaitu there we sneaked in and spent precious time together we didnt click multiple photos we saved them in our heart,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771136129963-h3s07x.jpg,image,dates,127,2026-02-15 06:15:31.525449+00,2026-02-15 17:50:54.325684+00
7471badc-be43-46c4-b009-1a42980d6f0e,550e8400-e29b-41d4-a716-446655440001,24th April 2026,,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1777356238190-kv7wr.jpg,image,dates,0,2026-04-28 06:04:38.725585+00,2026-04-28 06:04:38.725585+00
96bfc8ad-bd76-4d28-9279-f3db6c443110,550e8400-e29b-41d4-a716-446655440001,23th march night,"23th march night she came with her friends and still she holds my hand infront of everyone ",https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1774278047741-pa8jb.jpg,image,dates,127,2026-03-23 15:01:00.390028+00,2026-03-23 15:02:03.963138+00
d68a2c47-89ed-4ed6-bfc3-1b54e6984090,550e8400-e29b-41d4-a716-446655440001,7th dec 2025 meet,on 7th  dec we met outside where we met had walk i lifted you in my hands one uncle saw us while we are hugging but we somehow managed it,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771138175709-8r29o.jpg,image,dates,127,2026-02-15 06:49:40.745564+00,2026-02-15 17:26:07.577672+00
d75f29d2-3cdc-47bd-be7b-a678bf6385e9,550e8400-e29b-41d4-a716-446655440001,24th dec 2025 walk,on 24th december we met i gave you icecream and we went for a walk u said to record this moment to rithika i noticed and i turned back,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771137874049-2roh4x.mp4,video,dates,217,2026-02-15 06:44:36.055314+00,2026-02-15 17:27:26.018388+00
dc4c45a1-7c23-46c6-9d7a-3aeaf5ef0651,550e8400-e29b-41d4-a716-446655440001,MY BIRTHDAY (saketh),"on jan 12th 2026 we met had our meal mandi and we spent our most precious magical time together and we can consider it as our first proper date ",https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771137608764-vzbimx.mp4,video,dates,127,2026-02-15 06:40:11.759474+00,2026-02-15 17:27:41.989783+00
dde6d2c7-0a74-4168-86a5-8e5680d9ee04,550e8400-e29b-41d4-a716-446655440001,7th dec video,,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771138321063-g5nses.mp4,video,dates,127,2026-02-15 06:52:03.937705+00,2026-02-15 17:26:44.3205+00
e5b21c92-11a3-469c-a9a4-0ccceff47635,550e8400-e29b-41d4-a716-446655440001,"our first pic together ",we met outside had our beatifull drive and we had our first pic together where we kissed in our first pic,https://mihtycztbooxfxliqvmi.supabase.co/storage/v1/object/public/chat-files/550e8400-e29b-41d4-a716-446655440001/1771138513285-02simb.jpg,image,dates,127,2026-02-15 06:55:18.355554+00,2026-02-15 17:26:26.035012+00
